time,open,high,low,close,MA,MA,Histogram,MACD,Signal
1354752000,13.30648556,13.67696429,12.99689872,13.35298178,NaN,NaN,0.09315423879915591,0.4697618834874735,0.3766076446883176
1354838400,13.27363617,13.51759767,13.0280521,13.37895729,NaN,NaN,0.08978769569020184,0.4888422643010699,0.3990545686108681
1354924800,13.49725883,13.5321016,13.10703814,13.50340785,NaN,NaN,0.08727483198585884,0.5081481085931916,0.42087327660733276
1355011200,13.29813741,13.52736266,13.00669917,13.39879552,NaN,NaN,0.07061159095839864,0.5091377653053311,0.4385261743469324
1355097600,13.38971798,13.54979323,13,13.4175381,NaN,NaN,0.053663966270119434,0.5056061321845817,0.4519421659144623
1355184000,13.49831065,13.66228831,13.158,13.66228831,NaN,NaN,0.051727485820779295,0.5166015231904364,0.4648740373696571
1355270400,13.48154163,13.79154729,13.384,13.65570226,NaN,NaN,0.04314362292180546,0.5188035660219139,0.47565994310010845
1355356800,13.69991486,13.79495092,13.33458683,13.76454076,NaN,NaN,0.03811108184643219,0.5232987954081487,0.4851877135617165
1355443200,13.77083475,13.86680508,13.25782328,13.60554606,NaN,NaN,0.01838890262719106,0.5081738418457054,0.4897849392185143
1355529600,13.58221995,13.63784037,13.32,13.54033076,NaN,NaN,-0.003563717777573694,0.4853302919965472,0.4888940097741209
1355616000,13.54992803,13.64978044,13.17343851,13.37662474,NaN,NaN,-0.032040868094435127,0.448842924656077,0.48088379275051213
1355702400,13.35844589,13.488232,12.75853739,13.24291973,NaN,NaN,-0.06112702609321963,0.40447501013398757,0.4656020362272072
1355788800,13.269271,13.38492295,13.00722738,13.22659036,NaN,NaN,-0.08144019385260509,0.36380179391145084,0.44524198776405594
1355875200,13.29754672,13.59012393,12.95614195,13.4429836,NaN,NaN,-0.0801523395079381,0.34505156337913334,0.42520390288707144
1355961600,13.43633482,13.64897111,12.90831731,13.56105276,NaN,NaN,-0.07148502413034796,0.3358476227241365,0.40733264685448445
1356048000,13.59215659,13.59991234,13.011,13.40371315,NaN,NaN,-0.07605977600176139,0.3122579268522827,0.3883177028540441
